区域,板块,项目名称,套数,开盘时间,单价,套均总价,户型,类别,社保系数,是否触发积分,入围积分,标准化积分,坐标
黄浦,老西门,复兴珑御,47,7/11/2021,136000,,,,0.24,触发,112.8,76.16666667,"121.484666,31.217711"
黄浦,新天地,翠湖五集,106,10/15/2021,165000,,,,0.24,触发,102.24,71.76666667,"121.479755,31.218178"
黄浦,董家渡,绿地海珀外滩,145,,142500,,,,0.24,未触发,0,29.16666667,"121.504694,31.21379"
黄浦,豫园,璞玉ONE,174,,130700,,,,,未触发,0,#DIV/0!,"121.489936,31.222857"
长宁,新华路,华山夏都苑二期,36,,130000,,380平,高层,,,,,"121.430957,31.2076"
徐汇,徐汇滨江,宝能公馆1288,约200,,118000,,140-170平3-4房,高层,,,,,"121.454647,31.15013"
徐汇,长桥,汇成南街里,204,,79500,,101-171平3-4房,高层,,,,,"121.444765,31.132846"
徐汇,龙华,香港置地启元,78,,145000,,280-320平,高层,,,,,"121.462983,31.16894"
杨浦,新江湾城,沁风雅苑,108,,待定,,312-478平,叠墅,,,,,
杨浦,新江湾城,中企云萃江湾,待定,,97000,,81-138平2-3房,高层,,,,,"121.515974,31.325434"
杨浦,东外滩,仁恒海上源,372,,115000,,80-271平3-4房,高层,,,,,"121.523705,31.270599"
杨浦,东外滩,金隅外滩东岸,待定,,待定,,99-148平3-4房,高层,,,,,"121.525187,31.272388"
黄浦,淮海中路,凯德茂名公馆,60,,145000,,219-263平,高层,,,,,"121.461411,31.222228"
虹口,北外滩,招商虹玺,待定,,待定,,90平,高层,,,,,"121.503323,31.26548"
静安,新静安内环,天汇世纪玺,747,,112000,,82-157高层165-243联排,高层、联排,,,,,"121.478401,31.254841"
静安,新静安内环,华发仁恒苏河世纪,300,,待定,,99平,高层,,,,,"121.468427,31.241871"
静安,新静安内环,安康苑,210,,128800,,140-260平3-4房,高层,,,,,"121.478482,31.249666"
普陀,长寿路,锦绣里,55,,130000,,200-350平,叠墅、联排,,,,,"121.447658,31.242946"
浦东,张江,浦开江南里,248,,待定,,190-1200平米合院,合院,,,,,"121.588332,31.217204"
闵行,莘庄,天安豪园,144,,81000,,98-148平3-4房,高层,,,,,"121.372495,31.160419"
浦东,世博,保利世博,待定,,待定,,170-250平3-5房,高层,,,,,"121.504188,31.198315"
浦东,川沙,保利云上拾光,待定,,46322,,104-124平米,叠墅,,,,,"121.707878,31.10551"
浦东,曹路,招商璀璨城市,348,,待定,,105-135平米3-4房,高层,,,,,"121.658784,31.263202"
浦东,新场,同润欣汇名邸,待定,,待定,,68-141平米,高层、叠墅,,,,,"121.660709,31.0303"
浦东,周康,海上溪云,48/143,,67725,,90-445平米,洋房、合院,,,,,"121.546245,31.131152"
闵行,马桥,上海华府天地,258,,61000,,叠加:131-168平、联排:189-218平,叠加、联排,,,,,"121.365372,31.040206"
闵行,颛桥,颛桥紫薇花园,待定,,67000,,85-149平2-4房,高层,,,,,"121.399794,31.067607"
闵行,颛桥,华发四季半岛,300多,,64000,,高层102平3房、148-172平叠加,高层、叠加,,,,,"121.400514,31.059704"
闵行,颛桥,上海星河湾,待定,,78280,,226-300平,叠加、联排,,,,,"121.409643,31.089953"
松江,松江新城,金地丰盛道,待定,,53000,,82-160平3-4房,高层、叠加,,,,,"121.254865,31.061677"
松江,九亭,贝尚湾,200,,待定,,104-178平,高层,,,,,"121.321012,31.146453"
松江,车墩,金地新乐里,待定,,36326,,高层91-98平、叠加102-135平,高层、叠加,,,,,"121.316108,31.017224"
青浦,赵巷别墅区,中铁建花语江南,336,,51071,,"洋房95-96平,叠墅上叠157-160平,平叠 166-168平,下叠159-169平",洋房、叠墅,,,,,"121.231701,31.121169"
青浦,徐泾,蟠龙天地,538,,61500,,建面约90-195平,洋房、合院,,,,,"121.278004,31.188091"
青浦,徐泾,俊灿星城,627,,62500,,建面70-130平,高层,,,,,"121.274988,31.166409"
嘉定,南翔,海伦堡玖悦源筑,63,,待定,,80-102平洋房、161-181平叠墅,洋房、叠墅,,,,,"121.310993,31.289453"
嘉定,嘉定新城,日月光伯爵天地,350,,41000,,94-150平3-4房,高层,,,,,"121.239669,31.391292"
嘉定,嘉定新城,金地嘉源,400,,45200,,"97-98平高层,155-175平叠墅",高层、叠墅,,,,,"121.254829,31.330415"
嘉定,南翔,碧桂园柏悦翔湾,713,,62500,,100-180平洋房、叠加、联排,洋房、叠加、联排,,,,,"121.282515,31.311304"
嘉定,马陆,金地案汇,1109,,48100,,"高层92-101平三房,洋房143平",高层、洋房,,,,,
嘉定,嘉定新城,盘古园府,132,,42000,,83-125平3-4房,高层,,,,,"121.24336,31.338145"
宝山,淞宝,上港星江湾,457,,73000,,85-155平小高层及高层,小高层、高层,,,,,"121.513197,31.34588"
宝山,上大,经纬学府阳光,236,,57200,,60-99平1-3房,高层,,,,,"121.402541,31.332844"
宝山,罗店,金融街美兰金悦府,323,,43000,,88-102平3-4房,高层,,,,,"121.381217,31.395005"
宝山,淞宝,碧桂园柏悦江湾,待定,,73000,,98 平洋房、131-147平叠墅,洋房、叠墅,,,,,"121.51267,31.345593"
宝山,罗店,保利云上浔光,344,,46400,,73-97平2-3房,高层,,,,,"121.341307,31.397242"
宝山,顾村,中企光华雅境,144,,47500,,90-126平3-4房,高层,,,,,"121.350255,31.355289"
奉贤,海湾,大名城映园,432,,22976,,96-124平,洋房、小高层,,,,,"121.747068,30.872966"
奉贤,南桥,中建海樾府,1190,,41000,,89-160平,小高层,,,,,"121.487426,30.956796"
奉贤,海湾,泷悦蓝湾,400,,31862,,95-125平,高层,,,,,"121.743277,30.87293"
奉贤,南桥,悦澜雅苑,待定,,38000,,86-135平米,高层,,,,,"121.442955,30.965119"
奉贤,南桥,国欣颐养中澳城,300,,39500,,98-130平米,高层,,,,,"121.475393,30.924004"
