区域,板块,项目名称,套数,开盘时间,单价,套均总价,户型,类别,社保系数,是否触发积分,入围积分,标准化积分,坐标
宝山,共富,央玺,288,7/19/2021,71000,,,,0.15,触发,49.2,49.46666667,"121.421746,31.344002"
宝山,顾村,上实海上菁英,552,6/10/2021,47500,,,,0.1,触发,41.8,41.8,"121.348797,31.354111"
宝山,罗店,建发云锦湾,368,6/8/2021,47900,,,,0.11,触发,38.58,39.61818182,"121.343594,31.393956"
宝山,顾村,大华锦绣四季,322,,53800,,,,,触发,37.3,#DIV/0!,"121.400086,31.358421"
宝山,顾村,大华锦绣四季,436,4/21/2021,47065,,,,0.1,未触发,0,0,"121.400086,31.358421"
宝山,罗店,建发云锦湾,566,,46200,,,,0.1,未触发,0,0,"121.343594,31.393956"
宝山,杨行,四季都会月城西,382,4/16/2021,46800,,,,0.1,未触发,0,0,"121.435153,31.375057"
宝山,罗店,华润卓越·玲珑悦府,391,5/27/2021,41800,,,,0.1,未触发,0,0,"121.374458,31.410109"
宝山,罗店,红星宝山天铂,384,6/7/2021,37600,,,,0.1,未触发,0,0,"121.334116,31.442648"
宝山,大场,大华悦庭,499,,57600,,,,,未触发,0,#DIV/0!,"121.403842,31.300773"
宝山,上大,经纬学府阳光,369,,57200,,,,,未触发,0,#DIV/0!,"121.399132,31.330457"
宝山,顾村,上城院子,514,,54400,,,,,未触发,0,#DIV/0!,"121.396206,31.365508"
宝山,杨行,万业·紫辰苑,172,11/11/2021,46000,,,,0.11,未触发,0,4.545454545,"121.43643,31.398537"
崇明,东滩,仁恒海明院,220,10/30/2021,34700,,,,0.11,触发,41.42,42.2,
崇明,东滩,仁恒海和院,165,6/12/2021,30500,,,,0.11,未触发,0,4.545454545,
崇明,东滩,光明墅,300,6/6/2021,31000,,,,0.1,未触发,0,0,
崇明,崇明新城,保利明玥潮升,283,,32200,,,,,未触发,0,#DIV/0!,
崇明,东滩,东滩云墅,252,,35000,,,,,未触发,0,#DIV/0!,
崇明,东滩,东滩云墅,132,11/14/2021,33200,,,,0.1,未触发,0,0,
崇明,长兴岛,长兴金茂逸墅,698,,31400,,,,,未触发,0,#DIV/0!,
崇明,崇明新城,金融街金悦府,290,,35000,,,,,未触发,0,#DIV/0!,
崇明,崇明新城,金融街金悦府,407,11/13/2021,29300,,,,0.1,未触发,0,0,
崇明,崇明新城,路劲象屿岛上的院子,454,,34500,,,,,未触发,0,#DIV/0!,
崇明,东滩,路劲象屿岛上的院子,401,10/22/2021,29100,,,,0.1,未触发,0,0,
崇明,东滩,仁恒海明院,340,,34700,,,,0.11,未触发,0,4.545454545,
崇明,东滩,上实和风院,262,,31200,,,,,未触发,0,#DIV/0!,
崇明,崇明新城,十里江湾,304,,28900,,,,,未触发,0,#DIV/0!,
徐汇,滨江,云锦东方,95,10/30/2021,150800,,,,0.24,触发,89.52,66.46666667,"121.45428,31.164536"
徐汇,漕河泾,鑫耀中城,328,12/2/2021,104500,,,,0.17,触发,69.21,61.3,"121.41516,31.169933"
徐汇,滨江,宝能公馆1288,201,,125000,,,,,未触发,0,#DIV/0!,"121.454647,31.15013"
徐汇,滨江,尚海湾豪庭,305,,125000,,,,,未触发,0,#DIV/0!,"121.45902,31.178734"
普陀,武宁,新湖明珠城,173,,105200,,,,0.23,触发,58.51,53.7,"121.428088,31.241602"
普陀,石泉,苏河望,96,,101600,,,,0.15,触发,51.35,50.9,"121.425313,31.252846"
普陀,武宁,新湖明珠城,173,,105200,,,,0.23,触发,50,50,"121.428088,31.241802"
普陀,长风,沁和园,51,11/3/2021,106800,,,,0.24,未触发,0,29.16666667,"121.383729,31.226664"
普陀,石泉,苏河望,323,,101600,,,,0.17,未触发,0,20.58823529,"121.425313,31.253046"
杨浦,东外滩,首创天阅滨江,10,,109900,,,,0.19,触发,90.78,71.46315789,"121.518988,31.256311"
杨浦,江浦,仁恒海上源,226,,115000,,,,0.21,触发,73.44,61.16190476,"121.523705,31.270599"
杨浦,东外滩,龙光天境,311,,99000,,,,0.16,触发,70.72,62.95,"121.551627,31.280059"
杨浦,鞍山,保利天汇,308,,109900,,,,0.16,触发,68.88,61.8,"121.510427,31.267522"
杨浦,新江湾城,中企云萃江湾,334,,97000,,,,0.15,触发,63.9,59.26666667,"121.515974,31.325434"
杨浦,江浦,仁恒海上源,299,,115000,,,,0.22,触发,50.65,50.29545455,"121.523705,31.270599"
杨浦,东外滩,东外滩爱国里,119,12/20/2021,97400,,,,,未触发,0,#DIV/0!,"121.551312,31.276341"
杨浦,新江湾城,上海院子,209,,132500,,,,,未触发,0,#DIV/0!,"121.510597,31.321788"
杨浦,新江湾城,上海院子,138,,133100,,,,,未触发,0,#DIV/0!,"121.510597,31.321788"
杨浦,东外滩,杨浦滨江壹号,297,,99000,,,,,未触发,0,#DIV/0!,"121.549469,31.28165"
松江,松江新城,荣景苑,82,,60000,,,,,未触发,0,#DIV/0!,"121.225308,31.004858"
松江,松江新城,荣景苑,75,,40800,,,,,未触发,0,#DIV/0!,"121.225308,31.004858"
松江,泗泾,泗水和鸣三期,128,4/21/2021,46237,,,,0.1,触发,68,68,"121.261793,31.124811"
松江,泗泾,同济晶萃二期,400,,48000,,,,0.1,触发,58,58,"121.245632,31.118882"
松江,泗泾,金地西郊风华,72,4/30/2021,60000,,,,0.14,触发,47.84,48.45714286,"121.25388,31.111455"
松江,洞泾,尚云里,269,10/19/2021,46300,,,,0.1,未触发,43.5,43.5,"121.297069,31.084758"
松江,佘山,国贸·佘山原墅,306,4/20/2021,51759,,,,0.11,未触发,0,4.545454545,"121.175914,31.085558"
松江,佘山,国贸·佘山原墅,122,,49300,,,,,未触发,0,#DIV/0!,"121.175914,31.085558"
松江,松江新城,国贸·凤凰原,79,4/23/2021,44407,,,,0.1,未触发,0,0,"121.189705,31.003139"
松江,新城,景瑞·江山悦,280,4/28/2021,47100,,,,0.1,未触发,0,0,"121.253537,31.037729"
松江,洞泾,尚云里,330,6/7/2021,48500,,,,0.11,未触发,0,4.545454545,"121.297069,31.084758"
松江,新桥,象屿上海年华,80,6/11/2021,43500,,,,0.1,未触发,0,0,"121.34156,31.072881"
松江,松江新城,国贸梧桐原,468,6/3/2021,44000,,,,0.1,未触发,0,0,"121.202903,31.126281"
松江,松江新城,大名城映云间,374,6/1/2021,44000,,,,0.1,未触发,0,0,"121.188512,31.00767"
松江,永丰,大名城映云间,224,,49000,,,,,未触发,0,#DIV/0!,"121.188512,31.00767"
松江,松江新城,合景天悦赋,340,,60000,,,,,未触发,0,#DIV/0!,"121.226163,31.059555"
松江,松江新城,华发象屿光星华府,219,,55000,,,,,未触发,0,#DIV/0!,"121.242539,31.050372"
松江,松江新城,华亭首府,210,,46000,,,,,未触发,0,#DIV/0!,"121.185474,31.030146"
松江,松江新城,华亭首府,28,11/9/2021,59800,,,,0.2,未触发,0,25,"121.185474,31.030146"
松江,松江新城,金地丰盛道,414,,53800,,,,,未触发,0,#DIV/0!,"121.254865,31.061677"
松江,松江新城,金地丰盛道,284,,52400,,,,,未触发,0,#DIV/0!,"121.254865,31.061677"
松江,松江老城,佘山玺樾,221,,55700,,,,,未触发,0,#DIV/0!,"121.191514,31.065732"
松江,松江老城,松岳名都,193,,47100,,,,,未触发,0,#DIV/0!,"121.234783,31.014707"
松江,九亭,洋江唐顿公馆,216,,50400,,,,,未触发,0,#DIV/0!,"121.320284,31.129618"
松江,泗泾,招商华发9号公馆,296,,46200,,,,,未触发,0,#DIV/0!,"121.74467,30.962264"
松江,小昆山,中海阅麓山,98,,52100,,,,,未触发,0,#DIV/0!,"121.134058,31.029049"
松江,小昆山,中海阅麓山,226,,49100,,,,,未触发,0,#DIV/0!,"121.134058,31.029049"
松江,小昆山,中海阅麓山,354,,41700,,,,,未触发,0,#DIV/0!,"121.134058,31.029049"
松江,佘山,中凯曼茶园,32,,110000,,,,,未触发,0,#DIV/0!,"121.198066,31.086353"
浦东新区,陆家嘴,九庐,152,,135000,,,,0.22,触发,98.4,72,"121.515497,31.242966"
浦东新区,杨思前滩,晶鸿名邸,202,,102000,,,,0.17,触发,97.23,77.78235294,"121.478781,31.160976"
浦东新区,碧云,碧云尊邸,173,,112000,,,,0.24,触发,92.24,67.6,"121.57916,31.235085"
浦东新区,杨思前滩,东方惠雅,384,2021/11/几,,,,,0.14,触发,87.44,76.74285714,"121.479151,31.159748"
浦东新区,外高桥,森兰星河湾,285,6/24/2021,79500,,,,0.19,触发,82.42,67.06315789,"121.594531,31.290585"
浦东新区,金桥,浦开仁恒·金桥世纪,383,11/17/2021,70300,,,,0.14,触发,78.06,70.04285714,"121.630683,31.286164"
浦东新区,金桥,浦开仁恒·金桥世纪,175,4/27/2021,70277,,,,0.13,触发,75.6,69.69230769,"121.630683,31.286164"
浦东新区,周浦,浦发东悦城,360,,42000,,,,0.1,触发,71.2,71.2,"121.584853,31.102805"
浦东新区,金桥,嘉泷汇,229,5/13/2021,83000,,,,0.15,触发,69.6,63.06666667,"121.589311,31.254641"
浦东新区,唐镇,华侨城纯水岸,788,,70600,,,,0.13,触发,69.11,64.7,"121.666594,31.226673"
浦东新区,川沙,陆家嘴锦绣观澜,192,6/11/2021,64000,,,,0.11,触发,69.02,67.29090909,"121.700013,31.178785"
浦东新区,周康,浦发仁恒珊瑚世纪,316,7/13/2021,67800,,,,0.13,触发,67.93,63.79230769,"121.549948,31.115839"
浦东新区,唐镇,融创未来金融城（13c-01）,437,7/8/2021,68000,,,,0.13,触发,61.3,58.69230769,"121.677066,31.209468"
浦东新区,周浦,绿地海富·东上海,389,11/5/2021,62000,,,,0.13,触发,58.45,56.5,"121.57335,31.1246"
浦东新区,周康,绿地海富·东上海,257,6/8/2021,62000,,,,0.13,触发,58.32,56.4,"121.57335,31.1246"
浦东新区,唐镇,融创未来金融城（13b-01）,466,10/9/2021,68000,,,,0.12,触发,57.44,56.2,"121.677066,31.209468"
浦东新区,祝桥,君御公馆,308,6/10/2021,34000,,,,0.1,触发,56.7,56.7,"121.777109,31.050952"
浦东新区,康桥,亲水湾朗廷,131,,64400,,,,0.12,触发,56.36,55.3,"121.580477,31.150865"
浦东新区,唐镇,融创未来金融城（13a-01）,302,7/9/2021,68000,,,,0.12,触发,56.28,55.23333333,"121.677066,31.209468"
浦东新区,周康,壹府澜庭,431,6/3/2021,69000,,,,0.12,触发,54.52,53.76666667,"121.558059,31.117352"
浦东新区,唐镇,融创未来金融城,272,,68000,,,,0.13,触发,52.99,52.3,"121.677066,31.209468"
浦东新区,周康,浦发仁恒珊瑚世纪,72,,80600,,,,0.2,触发,50,50,"121.549948,31.115839"
浦东新区,外高桥,阳明花园,336,5/20/2021,53000,,,,0.11,触发,49.09,49.17272727,"121.591748,31.335305"
浦东新区,康桥,仁恒华发·海上溪云,514,,67700,,,,0.11,触发,44.41,44.91818182,"121.546628,31.130421"
浦东新区,祝桥,公元2040,212,7/14/2021,45000,,,,0.1,触发,43.2,43.2,"121.769555,31.105503"
