Name,CordLongitude,CordLatitude,UnitPrice,RefUnitPrice,GapRate,GapRateSqrt,MinArea,MinTotal,NoOfApts,Ratio,PoolSize,Transportation,MiscFactor,Multiplier,RawScore,Month50Base,,Predicted score,,,,,,,,,,楼盘名,Column2,实际开盘分数,Column3,Column4,预测分数
中粮瑞虹海景壹号,31.267797,121.502324,115000,160000,0.391304348,0.625543242,135,1552.5,178,2.5,445,1,0,0.24,96.08,192,131.1431463,81.47,,,,,,,,,,金地嘉悦湾,0.1,55.9,59,38.2427224,53.82
上海院子,31.321788,121.510597,133130,133130,0,0,89,1184.857,138,2,276,1,0,0.21,,0,59.38036736,62.47,,,,,,,,,,金地峯范,0.13,59.51,73.15384615,33.92941981,54.41
仁恒海上源,31.270599,121.523705,115000,150000,0.304347826,0.551677284,128,1472,226,2.5,565,1,0,0.21,73.44,111.6190476,111.8006022,73.48,,,,,,,,,,同济晶萃,0.1,58,80,34.75159832,53.48
融创杨浦滨江壹号,31.281325,121.550222,99000,120000,0.212121212,0.460566186,97,960.3,297,2,594,1,1,0.15,0,0,77.52444808,61.63,,,,,,,,,,盛青云驰,0.1,59,90,129.1978257,62.92
龙光天境,31.280059,121.551627,99000,120000,0.212121212,0.460566186,87,861.3,311,2,622,1,0,0.15,70.72,138.1333333,120.7568064,68.11,,,,,,,,,,,,,,,
首创天阅滨江,31.256311,121.518988,109900,160000,0.455868972,0.675180696,110,1208.9,10,2.5,25,1,0,0.19,90.78,214.6315789,213.7735579,90.62,,,,,,,,,,,,,,,
上海星河湾花园三期,31.089975,121.406679,78280,78280,0,0,226,1769.128,292,1.3,379.6,0,1,0.24,0,0,0,50,,,,,,,,,,,,,,,
华发四季半岛,31.058821,121.401438,64000,64000,0,0,98,627.2,481,1.3,625.3,1,1,0.12,53.96,33,61.16275327,57.34,,,,,,,,,,,,,,,
颛桥宝华紫薇花园,31.067607,121.399794,67000,67000,0,0,86,576.2,476,1.3,618.8,1,1,0.11,57.35,66.81818182,68.41302524,57.53,,,,,,,,,,,,,,,
大华公园荟,31.382685,121.439205,53849,53849,0,0,87,468.4863,93,1.8,167.4,1,0,0.12,75.72,214.3333333,130.1840684,65.62,,,,,,,,,,,,,,,
四季都会绿龙北,31.391743,121.429076,47605,47605,0,0,77,366.5585,344,1.8,619.2,1,0,0.1,66.8,168,120.6723268,62.07,,,,,,,,,,,,,,,
 ,31.300773,121.403842,57608,57608,0,0,99,570.3192,499,2,998,1,1,0.11,,0,48.89135147,55.38,,,,,,,,,,,,,,,
奥园金地格林云尚,31.320171,121.165593,35471,35471,0,0,62,219.9202,251,1.8,451.8,0,1,0.1,,0,0,50,,,,,,,,,,,,,,,
融信海纳印象,31.301716,121.309389,59000,59000,0,0,104,613.6,208,1.3,270.4,1,0,0.11,64.19,129,129.5197473,64.25,,,,,,,,,,,,,,,
金地嘉悦湾,31.372986,121.286512,43706,43706,0,0,88,384.6128,357,1.3,464.1,0,0,0.1,55.9,59,38.2427224,53.82,,,,,,,,,,,,,,,
金地峯范,31.392958,121.228507,51261,51261,0,0,136,697.1496,85,1.3,110.5,0,0,0.13,59.51,73.15384615,33.92941981,54.41,,,,,,,,,,,,,,,
春申阳光,31.466168,121.194679,32500,32500,0,0,55,178.75,259,1.3,336.7,0,1,0.1,0,0,3.65521803,50.37,,,,,,,,,,,,,,,
禹州天境铂悦,30.978973,121.505424,34055,34055,0,0,55,187.3025,289,1.3,375.7,0,1,0.1,,0,1.542022952,50.15,,,,,,,,,,,,,,,
中海戈雅园,30.915387,121.666789,27458,27458,0,0,82,225.1556,324,1.3,421.2,0,1,0.1,,0,0,50,,,,,,,,,,,,,,,
正阳柏谭湾,30.976482,121.072965,48750,48750,0,0,176,858,80,1.3,104,0,1,0.1,,0,7.85626257,50.79,,,,,,,,,,,,,,,
中凯曼荼园,31.086353,121.198066,110000,110000,0,0,317,3487,32,1.3,41.6,0,1,0.1,,0,0,50,,,,,,,,,,,,,,,
洋江唐顿公馆,31.129779,121.320836,50400,50400,0,0,93,468.72,216,1.3,280.8,1,1,0.11,0,0,87.11143586,59.58,,,,,,,,,,,,,,,
同济晶萃,31.118882,121.245632,48024,48024,0,0,91,437.0184,400,1.3,520,0,0,0.1,58,80,34.75159832,53.48,,,,,,,,,,,,,,,
佘山玺越,31.065732,121.191514,55730,55730,0,0,90,501.57,221,1.3,287.3,0,1,0.1,0,0,2.490595035,50.25,,,,,,,,,,,,,,,
金地丰盛道,31.061677,121.254865,52357,52357,0,0,99,518.3343,284,1.3,369.2,0,1,0.11,0,0,0,50,,,,,,,,,,,,,,,
中海阅麓山,31.029049,121.134058,41687,41687,0,0,70,291.809,354,1.3,460.2,0,1,0.1,,0,0,50,,,,,,,,,,,,,,,
复地湖畔和光,30.830359,121.308386,20688,20688,0,0,75,155.16,340,1.3,442,0,1,0.1,,0,0,50,,,,,,,,,,,,,,,
碧桂园凤凰城,30.724621,121.359997,27300,27300,0,0,95,259.35,324,1.3,421.2,0,1,0.1,0,0,0,50,,,,,,,,,,,,,,,
御品园林,31.152699,121.268167,80747,80747,0,0,238,1921.7786,74,1.3,96.2,0,1,0.1,0,0,0,50,,,,,,,,,,,,,,,
盛青云驰,31.133806,121.087472,43895,43895,0,0,80,351.16,352,1.3,457.6,1,0,0.1,59,90,129.1978257,62.92,,,,,,,,,,,,,,,
